CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
136069101,CM,CANADIAN IMPERIAL BANK OF CO,29156,398,3.36M,45.82K,+1.4%,0.03%
550021109,LULU,LULULEMON ATHLETICA INC,9537,219,1.09M,25K,+2.4%,0.01%
866796105,SLF,SUN LIFE FINANCIAL INC.,22391,307,1.76M,24.09K,+1.4%,0.02%
136375102,CNI,CANADIAN NATL RY CO,11567,159,1.38M,18.97K,+1.4%,0.01%
011532108,AGI,ALAMOS GOLD INC,28576,391,866.1K,11.85K,+1.4%,<.01%
M7516K103,NVMI,NOVA LTD,1053,15,556.64K,7.93K,+1.4%,<.01%
46982L108,J,JACOBS SOLUTIONS INC,406,6,51.16K,756,+1.5%,<.01%
30190A104,FG,F&G ANNUITIES & LIFE INC,0,-455,0,-11.52K,CLOSE,0%
H1467J104,CB,CHUBB LIMITED,146825,-102,50.03M,-34.75K,-0.1%,0.52%
28414H103,ELAN,ELANCO ANIMAL HEALTH INC,1241434,-1821,30.55M,-44.82K,-0.1%,0.31%
631103108,NDAQ,NASDAQ INC,12582,-617,991.7K,-48.63K,-4.7%,0.01%
780087102,RY,ROYAL BK CDA,38096,-268,7.89M,-55.48K,-0.7%,0.08%
303250104,FICO,FAIR ISAAC CORP,713,-50,851.85K,-59.74K,-6.6%,<.01%
M98068105,WIX,WIX COM LTD,0,-715,0,-64.4K,CLOSE,0%
216648501,COO,COOPER COS INC,2520,-1061,180.71K,-76.08K,-29.6%,<.01%
478160104,JNJ,JOHNSON & JOHNSON,288233,-424,73.2M,-107.68K,-0.1%,0.75%
15101Q207,CLS,CELESTICA INC,5930,-313,2.16M,-114.11K,-5%,0.02%
683715106,OTEX,OPEN TEXT CORP,0,-6142,0,-136.44K,CLOSE,0%
460146103,IP,INTERNATIONAL PAPER CO,35119,-3654,1.34M,-139.21K,-9.4%,0.01%
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,0,-2138,0,-176.02K,CLOSE,0%
548661107,LOW,LOWES COS INC,73342,-839,16.17M,-184.98K,-1.1%,0.17%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,26203,-2968,1.68M,-189.97K,-10.2%,0.02%
69370C100,PTC,PTC INC,0,-1354,0,-192.93K,CLOSE,0%
655844108,NSC,NORFOLK SOUTHN CORP,19690,-652,6.19M,-205.1K,-3.2%,0.06%
758849103,REG,REGENCY CTRS CORP,21991,-2697,1.75M,-215.06K,-10.9%,0.02%
878742204,TECK,TECK RESOURCES LTD,12039,-3682,716.78K,-219.22K,-23.4%,<.01%
70432V102,PAYC,PAYCOM SOFTWARE INC,0,-1969,0,-239.3K,CLOSE,0%
74935Q107,RBA,RB GLOBAL INC,0,-2526,0,-241.48K,CLOSE,0%
942622200,WSO,WATSCO INC,0,-683,0,-248.44K,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,89929,-5800,3.88M,-250.42K,-6.1%,0.04%
82509L107,SHOP,SHOPIFY INC,25139,-2221,2.88M,-254.01K,-8.1%,0.03%
02665T306,AMH,AMERICAN HOMES 4 RENT,0,-9196,0,-256.74K,CLOSE,0%
81141R100,SE,SEA LTD,59135,-2732,5.67M,-261.77K,-4.4%,0.06%
115236101,BRO,BROWN & BROWN INC,0,-4214,0,-274.8K,CLOSE,0%
268150109,DT,DYNATRACE INC,0,-7432,0,-274.85K,CLOSE,0%
704326107,PAYX,PAYCHEX INC,24504,-2859,2.41M,-281.13K,-10.4%,0.02%
372460105,GPC,GENUINE PARTS CO,0,-2714,0,-286.99K,CLOSE,0%
761152107,RMD,RESMED INC,11290,-1539,2.2M,-299.9K,-12%,0.02%
256163106,DOCU,DOCUSIGN INC,0,-6407,0,-303.74K,CLOSE,0%
12532H104,GIB,CGI INC,6257,-4846,404.29K,-313.12K,-43.6%,<.01%
426281101,JKHY,HENRY JACK & ASSOC INC,0,-2021,0,-319.38K,CLOSE,0%
113004105,BAM,BROOKFIELD ASSET MANAGMT LTD,0,-7212,0,-319.63K,CLOSE,0%
08265T208,BSY,BENTLEY SYS INC,0,-9165,0,-321.88K,CLOSE,0%
G25839104,CCEP,COCA-COLA EUROPACIFIC PARTNE,6496,-3256,649.9K,-325.75K,-33.4%,<.01%
025932104,AFG,AMERICAN FINANCIAL GROUP INC,0,-2597,0,-331.65K,CLOSE,0%
29472R108,ELS,EQUITY LIFESTYLE PROPERTIES,0,-5360,0,-334.57K,CLOSE,0%
36118L106,FUTU,FUTU HLDGS LTD,0,-2554,0,-349.28K,CLOSE,0%
620076307,MSI,MOTOROLA SOLUTIONS INC,15784,-856,6.55M,-355.49K,-5.1%,0.07%
866674104,SUI,SUN CMNTYS INC,0,-2826,0,-355.95K,CLOSE,0%
90138F102,TWLO,TWILIO INC,5771,-1742,1.19M,-359.43K,-23.2%,0.01%
58155Q103,MCK,MCKESSON CORP,17576,-476,13.28M,-359.63K,-2.6%,0.14%
316773100,FITB,FIFTH THIRD BANCORP,65800,-6694,3.71M,-377.32K,-9.2%,0.04%
88339J105,TTD,THE TRADE DESK INC,0,-17659,0,-400.68K,CLOSE,0%
